graph_type,vertex_count,edge_count,pathfinder,time_nanos
Full,10,10,45,Dijkstra,1044
Full,10,10,45,Floyd-Warshall,6736
Full,10,10,45,Bellman-Ford,10390
Full,10,10,45,SPFA,657
Full,60,60,1770,Dijkstra,30495
Full,60,60,1770,Floyd-Warshall,611461
Full,60,60,1770,Bellman-Ford,1499869
Full,60,60,1770,SPFA,9514
Full,110,110,5995,Dijkstra,215838
Full,110,110,5995,Floyd-Warshall,3670956
Full,110,110,5995,Bellman-Ford,9054165
Full,110,110,5995,SPFA,36072
Full,160,160,12720,Dijkstra,417890
Full,160,160,12720,Floyd-Warshall,11773976
Full,160,160,12720,Bellman-Ford,28297627
Full,160,160,12720,SPFA,76780
Full,210,210,21945,Dijkstra,1423471
Full,210,210,21945,Floyd-Warshall,24385976
Full,210,210,21945,Bellman-Ford,64053243
Full,210,210,21945,SPFA,130286
Full,260,260,33670,Dijkstra,2284143
Full,260,260,33670,Floyd-Warshall,46290442
Full,260,260,33670,Bellman-Ford,122025703
Full,260,260,33670,SPFA,196816
Full,310,310,47895,Dijkstra,3588101
Full,310,310,47895,Floyd-Warshall,76280635
Full,310,310,47895,Bellman-Ford,206791507
Full,310,310,47895,SPFA,274105
Full,360,360,64620,Dijkstra,6220261
Full,360,360,64620,Floyd-Warshall,110917348
Full,360,360,64620,Bellman-Ford,323967458
Full,360,360,64620,SPFA,368893
Full,410,410,83845,Dijkstra,5197122
Full,410,410,83845,Floyd-Warshall,155278646
Full,410,410,83845,Bellman-Ford,479487415
Full,410,410,83845,SPFA,476860
Full,460,460,105570,Dijkstra,11683525
Full,460,460,105570,Floyd-Warshall,230907664
Full,460,460,105570,Bellman-Ford,680406246
Full,460,460,105570,SPFA,577304
Full,510,510,129795,Dijkstra,18325386
Full,510,510,129795,Floyd-Warshall,299944857
Full,510,510,129795,Bellman-Ford,931619234
Full,510,510,129795,SPFA,750871
Full,560,560,156520,Dijkstra,23414328
Full,560,560,156520,Floyd-Warshall,383370100
Full,560,560,156520,Bellman-Ford,1245481357
Full,560,560,156520,SPFA,880438
Full,610,610,185745,Dijkstra,36121020
Full,610,610,185745,Floyd-Warshall,447197826
Full,610,610,185745,Bellman-Ford,1685097300
Full,610,610,185745,SPFA,1071435
Full,660,660,217470,Dijkstra,25777604
Full,660,660,217470,Floyd-Warshall,559885307
Full,660,660,217470,Bellman-Ford,2194201208
Full,660,660,217470,SPFA,1392134
Full,710,710,251695,Dijkstra,28548058
Full,710,710,251695,Floyd-Warshall,654629205
Full,710,710,251695,Bellman-Ford,2778209326
Full,710,710,251695,SPFA,1906264
Full,760,760,288420,Dijkstra,59060028
Full,760,760,288420,Floyd-Warshall,800991241
Full,760,760,288420,Bellman-Ford,3381048543
Full,760,760,288420,SPFA,2391887
Full,810,810,327645,Dijkstra,64587228
Full,810,810,327645,Floyd-Warshall,981759523
Full,810,810,327645,Bellman-Ford,4143913304
Full,810,810,327645,SPFA,2924645
Full,860,860,369370,Dijkstra,77723651
Full,860,860,369370,Floyd-Warshall,1315924369
Full,860,860,369370,Bellman-Ford,4872417757
Full,860,860,369370,SPFA,3402519
Full,910,910,413595,Dijkstra,76182555
Full,910,910,413595,Floyd-Warshall,1357506500
Full,910,910,413595,Bellman-Ford,5743552888
Full,910,910,413595,SPFA,3952444
Full,960,960,460320,Dijkstra,121994962
Full,960,960,460320,Floyd-Warshall,1643511843
Full,960,960,460320,Bellman-Ford,6787960923
Full,960,960,460320,SPFA,4390310
Full,1010,1010,509545,Dijkstra,116058722
Full,1010,1010,509545,Floyd-Warshall,1865449699
Full,1010,1010,509545,Bellman-Ford,7974151957
Full,1010,1010,509545,SPFA,4107851
Partial,10,10,19,Dijkstra,376
Partial,10,10,19,Floyd-Warshall,3451
Partial,10,10,19,Bellman-Ford,2462
Partial,10,10,19,SPFA,305
Partial,60,60,768,Dijkstra,18285
Partial,60,60,768,Floyd-Warshall,621963
Partial,60,60,768,Bellman-Ford,866093
Partial,60,60,768,SPFA,7564
Partial,110,110,2404,Dijkstra,85804
Partial,110,110,2404,Floyd-Warshall,3300207
Partial,110,110,2404,Bellman-Ford,5064840
Partial,110,110,2404,SPFA,25629
Partial,160,160,5825,Dijkstra,270581
Partial,160,160,5825,Floyd-Warshall,9437904
Partial,160,160,5825,Bellman-Ford,15580766
Partial,160,160,5825,SPFA,61331
Partial,210,210,10795,Dijkstra,566470
Partial,210,210,10795,Floyd-Warshall,22240814
Partial,210,210,10795,Bellman-Ford,44589657
Partial,210,210,10795,SPFA,109464
Partial,260,260,14025,Dijkstra,938369
Partial,260,260,14025,Floyd-Warshall,38790012
Partial,260,260,14025,Bellman-Ford,73998973
Partial,260,260,14025,SPFA,153763
Partial,310,310,23096,Dijkstra,1842159
Partial,310,310,23096,Floyd-Warshall,64228276
Partial,310,310,23096,Bellman-Ford,117830964
Partial,310,310,23096,SPFA,234117
Partial,360,360,26232,Dijkstra,3142331
Partial,360,360,26232,Floyd-Warshall,96568569
Partial,360,360,26232,Bellman-Ford,165710275
Partial,360,360,26232,SPFA,291414
Partial,410,410,36180,Dijkstra,3664151
